Linux 6.18.12+kali-amd64 (kali) 	06/04/2026 	_x86_64_	(4 CPU)

06:24:29 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:32:03 AM     0    180443   12.00    0.00    0.00    0.00   12.00     0  dns-firewall
06:32:05 AM     0    180443   13.00    0.00    0.00    0.00   13.00     0  dns-firewall
06:32:07 AM     0    180443   14.50    0.00    0.00    0.00   14.50     0  dns-firewall
06:32:09 AM     0    180443   13.93    0.00    0.00    0.00   13.93     2  dns-firewall
06:32:11 AM     0    180443   13.00    0.00    0.00    0.00   13.00     3  dns-firewall
06:32:13 AM     0    180443   12.00    0.00    0.00    0.00   12.00     2  dns-firewall
06:32:15 AM     0    180443   13.00    0.00    0.00    0.00   13.00     2  dns-firewall
06:32:17 AM     0    180443   11.00    0.00    0.00    0.00   11.00     3  dns-firewall
06:32:19 AM     0    180443   13.50    0.00    0.00    0.00   13.50     2  dns-firewall
06:32:21 AM     0    180443   13.50    0.00    0.00    0.00   13.50     2  dns-firewall
06:32:23 AM     0    180443   14.00    0.00    0.00    0.00   14.00     3  dns-firewall
06:32:25 AM     0    180443   14.50    0.00    0.00    0.00   14.50     3  dns-firewall
06:32:27 AM     0    180443   13.00    0.00    0.00    0.00   13.00     3  dns-firewall
06:32:29 AM     0    180443   14.00    0.00    0.00    0.00   14.00     3  dns-firewall
06:32:31 AM     0    180443   11.50    0.00    0.00    0.00   11.50     3  dns-firewall
06:32:33 AM     0    180443    1.00    0.00    0.00    0.00    1.00     2  dns-firewall
06:32:35 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:32:37 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:32:39 AM     0    180443    1.00    0.00    0.00    0.00    1.00     0  dns-firewall
06:32:41 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:32:43 AM     0    180443    1.00    0.00    0.00    0.00    1.00     0  dns-firewall
06:32:45 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:32:47 AM     0    180443    1.50    0.00    0.00    0.00    1.50     3  dns-firewall
06:32:49 AM     0    180443    1.00    0.00    0.00    0.00    1.00     1  dns-firewall
06:32:51 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:32:53 AM     0    180443    1.00    0.00    0.00    0.00    1.00     1  dns-firewall
06:32:55 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:32:57 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:32:59 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:33:01 AM     0    180443    1.00    0.00    0.00    0.00    1.00     1  dns-firewall
06:33:03 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:33:05 AM     0    180443    1.00    0.00    0.00    0.00    1.00     1  dns-firewall
06:33:07 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:33:09 AM     0    180443    1.49    0.00    0.00    0.00    1.49     1  dns-firewall
06:33:11 AM     0    180443    1.00    0.00    0.00    0.00    1.00     1  dns-firewall
06:33:13 AM     0    180443    1.50    0.00    0.00    0.00    1.50     2  dns-firewall
06:33:15 AM     0    180443    1.00    0.00    0.00    0.00    1.00     3  dns-firewall
06:33:17 AM     0    180443    1.50    0.00    0.00    0.00    1.50     3  dns-firewall
06:33:19 AM     0    180443    1.50    0.00    0.00    0.00    1.50     2  dns-firewall
06:33:21 AM     0    180443    1.00    0.00    0.00    0.00    1.00     2  dns-firewall
06:33:23 AM     0    180443    1.50    0.00    0.00    0.00    1.50     2  dns-firewall
06:33:25 AM     0    180443    1.50    0.00    0.00    0.00    1.50     3  dns-firewall
06:33:27 AM     0    180443    1.50    0.00    0.00    0.00    1.50     2  dns-firewall
06:33:29 AM     0    180443    1.50    0.00    0.00    0.00    1.50     2  dns-firewall
06:33:31 AM     0    180443    1.00    0.00    0.00    0.00    1.00     2  dns-firewall
06:33:33 AM     0    180443    1.50    0.00    0.00    0.00    1.50     2  dns-firewall
06:33:35 AM     0    180443    1.00    0.00    0.00    0.00    1.00     3  dns-firewall
06:33:37 AM     0    180443    1.50    0.00    0.00    0.50    1.50     3  dns-firewall
06:33:39 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:33:41 AM     0    180443    1.00    0.00    0.00    0.00    1.00     0  dns-firewall
06:33:43 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:33:45 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:33:47 AM     0    180443    1.00    0.00    0.00    0.00    1.00     0  dns-firewall
06:33:49 AM     0    180443    1.49    0.00    0.00    0.00    1.49     3  dns-firewall
06:33:51 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:33:53 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:33:55 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:33:57 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:33:59 AM     0    180443    1.00    0.00    0.00    0.00    1.00     1  dns-firewall
06:34:01 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:34:03 AM     0    180443    1.00    0.00    0.00    0.00    1.00     0  dns-firewall
06:34:05 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:34:07 AM     0    180443    1.00    0.00    0.00    0.00    1.00     1  dns-firewall
06:34:09 AM     0    180443    1.50    0.00    0.00    0.00    1.50     0  dns-firewall
06:34:11 AM     0    180443    1.00    0.00    0.00    0.00    1.00     1  dns-firewall
06:34:13 AM     0    180443    1.50    0.00    0.00    0.50    1.50     1  dns-firewall
06:34:15 AM     0    180443    1.00    0.00    0.00    0.00    1.00     0  dns-firewall
06:34:17 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:34:19 AM     0    180443    1.50    0.00    0.00    0.00    1.50     1  dns-firewall
06:34:21 AM     0    180443    1.00    0.00    0.00    0.00    1.00     0  dns-firewall
06:34:23 AM     0    180443    1.00    0.00    0.00    0.00    1.00     1  dns-firewall
06:34:25 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:27 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:29 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:31 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:33 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:35 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:37 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:39 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:41 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:43 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:45 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:47 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:49 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:51 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:53 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:55 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:57 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
06:34:59 AM     0    180443    0.00    0.00    0.00    0.00    0.00     1  dns-firewall
